"nll","delAIC","modname","parname","value","low","high"
3225.22247514289,12.9925058337594,"AVG","r25.31",1.00715937506662,0.905,1.13
3223.12021853079,8.78799260954838,"AVN","r25.31",1.00963397079827,0.905,1.135
3223.20058591738,8.9487273827217,"AVS","r25.31",1.01176739071612,0.91,1.135
3230.81848321595,16.1845219798797,"A","r39.45",0.983079357412874,0.88,1.11
3230.31294508437,19.1734457167076,"AG","r39.45",0.990136633748799,0.875,1.125
3227.73803699954,14.0236295470422,"AN","r39.45",0.966058514337643,0.85,1.12
3227.8174745713,14.1825046905788,"AS","r39.45",0.953164243343559,0.85,1.085
3226.05884642953,8.66524840702732,"AT","r39.45",0.974102702892727,0.87,1.1
3225.39955816839,11.3466718847449,"ATG","r39.45",0.977963281373909,0.865,1.115
3222.80851033499,6.16457621794689,"ATN","r39.45",0.960752125314814,0.845,1.115
3222.92381575422,6.39518705641967,"ATS","r39.45",0.945169177058018,0.84,1.075
3226.00654695918,10.5606494663298,"ATU","r39.45",0.975727553635713,0.875,1.1
3225.34019665154,13.2279488510421,"ATUG","r39.45",0.979200079889764,0.865,1.115
3222.7782049096,8.10396536716235,"ATUN","r39.45",0.9621137889925,0.845,1.115
3222.8929491361,8.33345382016705,"ATUS","r39.45",0.946662429762489,0.84,1.075
3220.20646646024,2.96048846845497,"ATUV","r39.45",0.980841682399288,0.875,1.105
3219.84879650222,6.24514855240159,"ATUVG","r39.45",0.986404556166652,0.87,1.12
3217.72477824585,1.99711203967854,"ATUVN","r39.45",0.969117765809602,0.85,1.125
3217.84883284251,2.24522123298266,"ATUVS","r39.45",0.952871826415149,0.845,1.085
3220.21471668702,0.976988922012424,"ATV","r39.45",0.980069453740025,0.875,1.105
3219.85771241926,4.26298038649384,"ATVG","r39.45",0.986046705874208,0.87,1.12
3217.72622222602,0,"ATVN","r39.45",0.968981318399476,0.85,1.12
3217.8502927543,0.248141056563327,"ATVS","r39.45",0.952562127611663,0.845,1.085
3230.79471042321,18.1369763943858,"AU","r39.45",0.984222029294625,0.88,1.11
3230.28639205487,21.120339657703,"AUG","r39.45",0.991138712651669,0.875,1.125
3227.7278074162,16.0031703803797,"AUN","r39.45",0.966800226517136,0.85,1.12
3227.8070487018,16.1616529515668,"AUS","r39.45",0.953946820050586,0.85,1.085
3225.49782909501,11.5432137379812,"AUV","r39.45",0.989855041958611,0.885,1.115
3225.22217369134,14.9919029306475,"AUVG","r39.45",0.998979808750725,0.88,1.13
3223.11915050076,10.7858565494807,"AUVN","r39.45",0.974427195083406,0.855,1.13
3223.19951890469,10.946593357351,"AUVS","r39.45",0.960764299317342,0.855,1.095
3225.49817944616,9.54391444028261,"AV","r39.45",0.989612957641774,0.885,1.115
3225.22247514289,12.9925058337594,"AVG","r39.45",0.998918119788602,0.885,1.13
3223.12021853079,8.78799260954838,"AVN","r39.45",0.974338580841704,0.86,1.13
3223.20058591738,8.9487273827217,"AVS","r39.45",0.960917089712315,0.855,1.095
3230.81848321595,16.1845219798797,"A","r46.52",0.931015375142676,0.83,1.055
3230.31294508437,19.1734457167076,"AG","r46.52",0.921149637019379,0.81,1.065
3227.73803699954,14.0236295470422,"AN","r46.52",0.912491988164556,0.795,1.07
3227.8174745713,14.1825046905788,"AS","r46.52",0.892727410031573,0.79,1.02
3226.05884642953,8.66524840702732,"AT","r46.52",0.930204617904378,0.825,1.055
3225.39955816839,11.3466718847449,"ATG","r46.52",0.923510126557455,0.81,1.065
3222.80851033499,6.16457621794689,"ATN","r46.52",0.915872610027871,0.795,1.075
3222.92381575422,6.39518705641967,"ATS","r46.52",0.89021369258135,0.785,1.015
3226.00654695918,10.5606494663298,"ATU","r46.52",0.932967384717748,0.83,1.06
3225.34019665154,13.2279488510421,"ATUG","r46.52",0.926955790920331,0.81,1.07
3222.7782049096,8.10396536716235,"ATUN","r46.52",0.918168657340953,0.795,1.075
3222.8929491361,8.33345382016705,"ATUS","r46.52",0.892333937607333,0.79,1.02
3220.20646646024,2.96048846845497,"ATUV","r46.52",0.939028170157608,0.835,1.065
3219.84879650222,6.24514855240159,"ATUVG","r46.52",0.93104004511178,0.82,1.075
3217.72477824585,1.99711203967854,"ATUVN","r46.52",0.92673844901503,0.805,1.085
3217.84883284251,2.24522123298266,"ATUVS","r46.52",0.903695606083904,0.795,1.035
3220.21471668702,0.976988922012424,"ATV","r46.52",0.937872329685532,0.835,1.065
3219.85771241926,4.26298038649384,"ATVG","r46.52",0.929617349048938,0.82,1.07
3217.72622222602,0,"ATVN","r46.52",0.926408651964511,0.805,1.085
3217.8502927543,0.248141056563327,"ATVS","r46.52",0.903156604235684,0.8,1.03
3230.79471042321,18.1369763943858,"AU","r46.52",0.932875241352689,0.83,1.06
3230.28639205487,21.120339657703,"AUG","r46.52",0.923309208056911,0.81,1.065
3227.7278074162,16.0031703803797,"AUN","r46.52",0.913804617095206,0.795,1.07
3227.8070487018,16.1616529515668,"AUS","r46.52",0.894246628193034,0.79,1.02
3225.49782909501,11.5432137379812,"AUV","r46.52",0.938638794952085,0.835,1.065
3225.22217369134,14.9919029306475,"AUVG","r46.52",0.926785881911386,0.82,1.07
3223.11915050076,10.7858565494807,"AUVN","r46.52",0.922026883528648,0.805,1.08
3223.19951890469,10.946593357351,"AUVS","r46.52",0.904607086099834,0.8,1.035
3225.49817944616,9.54391444028261,"AV","r46.52",0.938298637183829,0.835,1.065
3225.22247514289,12.9925058337594,"AVG","r46.52",0.926504917839847,0.82,1.07
